,Word,Count
0,dark,27
1,horse,42
2,darling,1
3,dardanelles,4
4,dart,4
5,darwin,12
6,buffalo,24
7,renoir,6
8,andrew,55
9,jackson,72
10,switzerland,23
11,united,47
12,state,77
13,hirohito,8
14,india,38
15,back,20
16,black,128
17,blackbeard,5
18,comedy,9
19,blackfoot,1
20,livingstone,5
21,net,6
22,schlep,1
23,garbage,5
24,long,37
25,haul,2
26,deadwood,3
27,soldier,8
28,spy,8
29,scott,49
30,turow,4
31,calvin,16
32,coolidge,8
33,joe,35
34,mccarthy,23
35,henry,102
36,clay,8
37,waxman,1
38,rayburn,3
39,news,7
40,world,106
41,amazon,12
42,encyclopaedia,2
43,britannica,3
44,rocky,17
45,mountain,48
46,seattle,20
47,garment,3
48,bag,10
49,duffel,2
50,sonny,8
51,bono,8
52,hannukah,1
53,barbershop,3
54,quartet,4
55,lent,7
56,sheryl,7
57,crow,13
58,friday,20
59,monday,12
60,night,63
61,football,18
62,thanksgiving,7
63,edgar,23
64,three,35
65,musketeer,10
66,psycho,11
67,moneyball,3
68,dracula,10
69,kentucky,27
70,derby,12
71,south,112
72,dakota,14
73,new,256
74,jersey,25
75,georgia,44
76,us,3
77,maine,34
78,kansa,26
79,brown,64
80,smith,37
81,johnson,58
82,thomas,89
83,jones,40
84,mann,9
85,guggenheim,3
86,sergei,1
87,diaghilev,1
88,richard,61
89,wagner,12
90,christian,20
91,doppler,4
92,rubber,6
93,whittle,2
94,allah,3
95,pickoff,1
96,coddle,2
97,turkey,25
98,alcatraz,6
99,mandela,12
100,island,136
101,château,3
102,x,21
103,b,19
104,f,4
105,u,6
106,high,25
107,life,64
108,de,109
109,moines,5
110,register,2
111,agriculture,11
112,gay,2
113,marriage,6
114,capitol,6
115,integration,1
116,triangle,6
117,plane,12
118,bill,92
119,catherine,19
120,arnold,12
121,palmer,5
122,mandy,1
123,moore,18
124,john,365
125,krasinski,2
126,egypt,28
127,china,39
128,australia,40
129,kingdom,15
130,ireland,27
131,cavalleria,1
132,rusticana,1
133,geoffrey,3
134,chaucer,7
135,cinderella,7
136,la,81
137,cenerentola,1
138,esméralda,1
139,progress,6
140,yoko,2
141,iron,49
142,butterfly,21
143,jimi,4
144,hendrix,4
145,richie,3
146,haven,1
147,ravi,1
148,shankar,1
149,regan,4
150,king,146
151,lear,12
152,clod,1
153,gastropod,1
154,synod,1
155,nimrod,2
156,prod,2
157,deviled,4
158,egg,36
159,scrambled,1
160,eggroll,1
161,benedict,19
162,lily,15
163,field,31
164,radium,4
165,federico,1
166,fellini,2
167,charles,83
168,dickens,12
169,hamlet,21
170,hard,18
171,rock,72
172,cafe,3
173,grateful,6
174,dead,46
175,elvis,22
176,presley,12
177,roll,23
178,hall,45
179,fame,8
180,juilliard,3
181,great,107
182,africa,44
183,soviet,5
184,spain,33
185,colombia,18
186,brat,3
187,babylon,6
188,beastie,6
189,boy,65
190,boat,20
191,people,21
192,blowfish,3
193,medical,5
194,examiner,1
195,tumor,1
196,tonsillectomy,1
197,tb,3
198,tuberculosis,7
199,eye,57
200,sergeant,4
201,bivouac,1
202,wounded,4
203,action,15
204,chemical,4
205,attention,4
206,corn,17
207,simple,6
208,simon,28
209,get,25
210,poor,5
211,dog,46
212,bone,21
213,little,103
214,kitten,2
215,wee,4
216,willie,10
217,winkie,2
218,writing,5
219,glacier,7
220,neanderthal,6
221,carboniferous,1
222,detroit,15
223,lake,119
224,erie,17
225,forest,18
226,fire,48
227,utah,23
228,pope,24
229,paul,103
230,ii,38
231,wen,1
232,ho,11
233,lee,60
234,kim,13
235,rick,14
236,lazio,1
237,abraham,15
238,zapruder,2
239,film,1
240,kennedy,55
241,assassination,5
242,bolero,2
243,boatman,1
244,bolivar,2
245,beeswax,1
246,paraffin,3
247,votive,1
248,wick,1
249,pillar,3
250,wale,21
251,aimee,1
252,semple,1
253,mcpherson,1
254,peter,63
255,hagia,3
256,sophia,3
257,old,49
258,north,71
259,church,22
260,circe,2
261,cleric,1
262,relic,2
263,rice,28
264,rile,1
265,steve,31
266,irwin,2
267,heart,63
268,florida,32
269,ancient,7
270,mugger,1
271,blue,101
272,piano,15
273,player,9
274,lennon,10
275,marilyn,9
276,monroe,18
277,stevie,8
278,wonder,19
279,wiglaf,1
280,cosette,2
281,chief,17
282,bromden,1
283,iago,6
284,agamemnon,4
285,oregon,23
286,texas,41
287,adam,66
288,attorney,5
289,general,36
290,neil,29
291,armstrong,11
292,pole,18
293,lunar,1
294,orbit,4
295,cuba,21
296,prize,10
297,dallas,17
298,cowboy,18
299,york,79
300,giant,26
301,elway,4
302,packer,3
303,hines,2
304,ward,8
305,appalachian,7
306,trail,20
307,mexico,60
308,niagara,13
309,fall,39
310,ford,41
311,online,2
312,paper,22
313,rockman,1
314,russia,34
315,japan,27
316,armada,8
317,hacienda,2
318,lambda,1
319,coda,2
320,bermuda,10
321,murder,18
322,bladder,2
323,actor,2
324,blonde,4
325,shaker,4
326,jackie,18
327,du,10
328,pont,6
329,william,147
330,randolph,8
331,hearst,9
332,revere,11
333,billy,38
334,kid,27
335,rodeo,6
336,swan,25
337,honshu,5
338,hindi,3
339,italian,3
340,german,15
341,michigan,34
342,vermont,7
343,missouri,35
344,nevada,23
345,carolina,41
346,defect,1
347,august,12
348,recreation,7
349,sewer,1
350,wind,50
351,sydney,11
352,sound,20
353,fury,9
354,war,183
355,remembrance,5
356,troilus,4
357,cressida,4
358,walrus,5
359,carpenter,6
360,father,16
361,son,21
362,highball,1
363,bushmills,1
364,pineapple,8
365,rum,10
366,kahlúa,1
367,mindy,6
368,project,11
369,runway,4
370,newlywed,3
371,game,38
372,throne,12
373,modern,12
374,family,29
375,feud,1
376,six,16
377,foot,28
378,dome,12
379,magnum,7
380,claudius,7
381,nat,9
382,turner,20
383,lewis,36
384,washington,94
385,navy,7
386,cross,29
387,stephen,50
388,sondheim,4
389,laura,15
390,ingalls,8
391,wilder,10
392,faulkner,8
393,ishmael,3
394,daniel,38
395,webster,14
396,be,2
397,vanilla,7
398,climber,1
399,mutation,2
400,pitcher,6
401,plant,7
402,uncross,1
403,troy,16
404,polamalu,1
405,tongue,15
406,michael,80
407,flatley,1
408,bruce,27
409,springsteen,10
410,puffer,1
411,letter,19
412,jacket,13
413,letterman,5
414,eskimo,3
415,inuit,2
416,raccoon,4
417,london,53
418,fog,4
419,hatch,6
420,downfield,1
421,downshift,1
422,downpour,2
423,dylan,16
424,roald,8
425,dahl,6
426,morton,4
427,stanley,10
428,david,113
429,salzburg,3
430,el,38
431,salvador,16
432,oman,8
433,malay,3
434,archipelago,5
435,central,17
436,african,12
437,republic,36
438,miller,31
439,lite,2
440,charmin,1
441,ibm,7
442,tide,12
443,caesar,25
444,mississippi,32
445,california,41
446,alabama,26
447,pasteurized,1
448,grand,53
449,slam,4
450,winwood,1
451,pi,13
452,registration,1
453,mets,5
454,evel,2
455,knievel,2
456,leonid,2
457,brezhnev,3
458,love,75
459,story,26
460,moon,45
461,tire,7
462,antireligious,1
463,ether,2
464,netherlands,31
465,angel,29
466,evangelist,1
467,miser,4
468,commiserate,1
469,renal,1
470,adrenaline,3
471,university,73
472,eleanor,14
473,aquitaine,2
474,edward,49
475,tower,40
476,elizabeth,57
477,pig,12
478,foo,8
479,spring,18
480,silkworm,2
481,soba,1
482,chicken,28
483,run,26
484,domino,3
485,poland,11
486,jamaica,15
487,rhode,11
488,absalom,4
489,peace,18
490,go,32
491,set,7
492,watchman,2
493,road,35
494,rabbit,27
495,rest,5
496,toe,8
497,shoe,17
498,pump,7
499,zappos,4
500,nike,10
501,moccasin,2
502,guilty,2
503,pure,3
504,impeccable,1
505,clear,4
506,vega,20
507,philadelphia,31
508,orleans,28
509,austin,9
510,futurama,6
511,buck,12
512,rogers,16
513,alien,8
514,terminator,6
515,republican,14
516,party,46
517,muir,4
518,concord,9
519,unitarianism,2
520,pollinator,2
521,meteorite,2
522,adrenalin,1
523,miami,20
524,nebraska,19
525,ohio,32
526,clemson,6
527,joint,5
528,venture,2
529,jovial,1
530,joie,1
531,vivre,1
532,juvenile,4
533,javelin,8
534,snake,17
535,oil,25
536,tulip,10
537,loose,1
538,lip,9
539,lipid,2
540,slip,2
541,lipizzaners,2
542,revenge,3
543,nerd,2
544,guardian,8
545,galaxy,13
546,shaun,3
547,last,42
548,mohican,6
549,close,10
550,encounter,3
551,third,7
552,kind,3
553,lullaby,5
554,evil,11
555,turkish,4
556,delight,4
557,leapfrog,2
558,george,192
559,carlin,5
560,martin,71
561,kaling,3
562,maher,3
563,jimmy,28
564,carter,23
565,ashton,2
566,earl,15
567,warren,19
568,anthony,23
569,robert,112
570,fred,8
571,tommy,12
572,thompson,12
573,davis,20
574,bridge,47
575,solitaire,5
576,canasta,2
577,flop,3
578,greece,24
579,canada,36
580,argentina,27
581,sphere,4
582,austere,1
583,steer,1
584,persevere,1
585,silkscreen,2
586,jasper,3
587,roy,11
588,lichtenstein,2
589,gulliver,6
590,alice,23
591,basquiat,1
592,hampton,5
593,pribilof,1
594,colorado,30
595,river,92
596,honolulu,3
597,tale,29
598,mystery,9
599,edwin,10
600,drood,5
601,mutual,2
602,curiosity,5
603,shop,14
604,mussolini,9
605,himalaya,7
606,rommel,4
607,leningrad,2
608,fish,32
609,neighborhood,3
610,interrogator,1
611,conscription,1
612,calisthenics,2
613,chemotherapy,3
614,frank,49
615,lloyd,19
616,wright,20
617,marshall,25
618,madison,27
619,square,35
620,garden,25
621,saarinen,3
622,record,11
623,goddess,2
624,massachusetts,21
625,barrette,1
626,suppress,1
627,blitzkrieg,2
628,antonio,10
629,lópez,2
630,santa,33
631,anna,20
632,montgomery,15
633,douglas,34
634,macarthur,14
635,napoléon,2
636,goldfinger,7
637,godfather,10
638,braveheart,3
639,walk,10
640,line,44
641,interstellar,3
642,james,164
643,te,9
644,gerritsen,1
645,parker,15
646,raymond,10
647,chandler,5
648,sir,43
649,arthur,43
650,conan,17
651,doyle,9
652,sugar,12
653,marshmallow,4
654,hazelnut,1
655,honey,9
656,log,8
657,cabin,8
658,syrup,3
659,indonesia,24
660,denmark,14
661,veep,5
662,scandal,6
663,house,96
664,card,24
665,benson,3
666,goodman,6
667,naked,10
668,brother,52
669,tribe,3
670,covenant,5
671,dialysis,3
672,stem,2
673,cell,17
674,parrot,2
675,fever,17
676,macadamia,3
677,nut,9
678,jan,5
679,pol,2
680,rumble,3
681,seat,5
682,airbags,1
683,car,27
684,smell,5
685,corolla,1
686,power,20
687,steering,2
688,lindbergh,13
689,gall,4
690,walleye,1
691,day,129
692,mall,6
693,chiang,6
694,alger,4
695,hiss,2
696,dwight,3
697,eisenhower,20
698,treasure,12
699,sierra,16
700,madre,3
701,military,5
702,oresteia,1
703,trilogy,2
704,athens,17
705,sparta,9
706,jason,13
707,chorus,8
708,dionysus,3
709,scottsboro,2
710,savion,2
711,glover,2
712,kiss,19
713,kate,21
714,cynthia,3
715,nixon,20
716,flying,17
717,handle,3
718,going,2
719,accepted,96
720,wesley,6
721,carpet,4
722,vodka,7
723,olive,16
724,juice,11
725,crême,1
726,menthe,1
727,bitter,3
728,orange,53
729,solar,15
730,sky,8
731,jpl,2
732,jet,14
733,propulsion,3
734,laboratory,3
735,zodiac,1
736,sign,10
737,neuf,2
738,louvre,8
739,arc,15
740,triomphe,3
741,montmartre,1
742,whitney,9
743,houston,18
744,bryce,1
745,howard,35
746,pollack,1
747,paris,30
748,hilton,10
749,bristol,2
750,palin,7
751,sheikh,2
752,sami,1
753,lapp,2
754,tutsi,2
755,seminole,7
756,turkmen,1
757,louisiana,29
758,illinois,18
759,tick,2
760,flea,6
761,mosquito,7
762,mite,2
763,louse,4
764,leeward,1
765,clyde,8
766,cape,24
767,town,19
768,corsica,4
769,champlain,5
770,calgary,3
771,jungle,11
772,book,43
773,journey,8
774,center,20
775,earth,44
776,walden,4
777,wood,28
778,cloud,11
779,inside,3
780,park,62
781,rec,1
782,snow,28
783,white,96
784,sister,25
785,blade,9
786,glory,4
787,pail,1
788,par,2
789,air,41
790,lair,1
791,diego,19
792,bull,31
793,venus,32
794,pointillism,1
795,liberty,30
796,exxonmobil,1
797,juan,15
798,valdez,6
799,sharp,1
800,walmart,6
801,toro,2
802,yuri,5
803,gagarin,6
804,manuel,4
805,noriega,3
806,jesse,15
807,florence,20
808,nightingale,10
809,grover,6
810,cleveland,26
811,country,15
812,marvin,8
813,gaye,3
814,supremes,5
815,coming,6
816,american,95
817,association,10
818,cornea,2
819,brain,9
820,secondhand,1
821,smoke,7
822,liver,12
823,banger,1
824,mistress,3
825,hunter,17
826,holy,21
827,roman,26
828,emperor,12
829,kiev,4
830,crusade,9
831,clares,1
832,korea,22
833,taylor,37
834,jack,68
835,dempsey,2
836,arbitration,2
837,pan,21
838,league,28
839,woman,38
840,voter,2
841,horace,3
842,greeley,4
843,pocahontas,11
844,blair,10
845,hughes,13
846,mill,5
847,fortune,8
848,leif,4
849,erikson,3
850,czech,10
851,sun,37
852,yuan,2
853,rand,12
854,venice,22
855,turin,4
856,naples,4
857,genoa,3
858,padua,3
859,master,15
860,key,22
861,duplicate,1
862,skeleton,3
863,blank,7
864,valet,1
865,bad,42
866,girl,68
867,reputation,1
868,give,10
869,name,11
870,case,7
871,loving,6
872,blood,45
873,crocodile,9
874,happy,22
875,shore,3
876,hercules,7
877,vampire,11
878,diary,14
879,red,138
880,green,82
881,marrow,5
882,picasso,14
883,donatello,1
884,christo,4
885,isamu,1
886,noguchi,1
887,gutzon,2
888,borglum,3
889,gold,31
890,rush,12
891,gone,11
892,philip,24
893,roth,7
894,algorithm,3
895,schmidt,6
896,brahms,3
897,khmer,1
898,schmooze,1
899,rebel,5
900,yell,1
901,hoot,2
902,roar,4
903,wail,3
904,yelp,2
905,indiana,19
906,stuyvesant,2
907,falk,2
908,wolf,31
909,stone,36
910,board,12
911,gourd,2
912,gored,1
913,blend,3
914,soy,2
915,sauce,13
916,tartar,2
917,cholula,1
918,carbonara,1
919,worcestershire,2
920,mourner,1
921,mondrian,3
922,morsel,1
923,mardi,3
924,revolution,16
925,money,17
926,rainbow,11
927,sex,13
928,city,101
929,shade,11
930,met,9
931,mother,23
932,rescue,2
933,cat,34
934,string,8
935,section,1
936,bassoon,4
937,oboe,6
938,french,42
939,horn,15
940,haifa,1
941,palestine,1
942,iraq,9
943,asia,8
944,minor,4
945,kurd,2
946,martian,8
947,chronicle,7
948,legend,12
949,left,14
950,hand,32
951,darkness,11
952,foundation,7
953,alphabet,7
954,belle,3
955,starr,7
956,discover,2
957,lost,34
958,bee,19
959,tijuana,4
960,byline,1
961,jefferson,31
962,hippogriff,1
963,hedwig,4
964,ron,12
965,weasley,3
966,fluffy,1
967,dragon,30
968,zenith,2
969,mercury,28
970,kuiper,2
971,belt,15
972,titan,7
973,sagittarius,5
974,naming,1
975,animal,17
976,mark,47
977,cain,11
978,fig,7
979,leaf,15
980,call,21
981,wild,29
982,cold,19
983,secretary,22
984,union,24
985,justice,12
986,common,22
987,queen,71
988,pearl,38
989,harbor,9
990,dole,13
991,edison,14
992,surfing,6
993,gibraltar,9
994,falklands,7
995,pitcairn,4
996,helena,8
997,adverb,3
998,interjection,2
999,article,6
1000,pronoun,1
1001,conjunction,4
1002,cooper,20
1003,bruno,8
