,category
final,844
AMERICAN HISTORY,104
NONFICTION,85
WORD ORIGINS,70
POTPOURRI,69
POP CULTURE,65
IN THE DICTIONARY,50
HISTORY,49
ART & ARTISTS,48
CLASSICAL MUSIC,48
WOMEN AUTHORS,45
HEALTH & MEDICINE,45
10-LETTER WORDS,45
FASHION,43
RHYME TIME,43
LITERATURE,40
SCIENCE,40
ANNUAL EVENTS,40
U.S. GEOGRAPHY,40
HODGEPODGE,39
3-LETTER WORDS,39
COMPOUND WORDS,39
STAMPS,36
FOREIGN WORDS & PHRASES,35
BEFORE & AFTER,35
FOOD & DRINK,35
AMERICANA,35
4-SYLLABLE WORDS,34
COLLEGES & UNIVERSITIES,34
POETS & POETRY,34
ANATOMY,34
ORGANIZATIONS,33
AROUND THE WORLD,33
WORLD HISTORY,33
PHILOSOPHY,32
RELIGION,30
-OLOGIES,30
MYTHOLOGY,30
POTENT POTABLES,30
LITERARY CHARACTERS,30
LANGUAGES,30
EUROPEAN HISTORY,30
TRANSPORTATION,30
BIOLOGY,30
SAME FIRST & LAST LETTER,30
LETTER PERFECT,29
TV,29
LIBRARIES,29
MUSICAL INSTRUMENTS,29
8-LETTER WORDS,29
BOOKS & AUTHORS,29
5-LETTER WORDS,29
BODIES OF WATER,28
TRAVEL & TOURISM,27
11-LETTER WORDS,26
LAKES & RIVERS,25
SCULPTURE,25
THIS & THAT,25
7-LETTER WORDS,25
CHEMISTRY,25
ASTRONOMY,25
WORD PUZZLES,25
VOCABULARY,25
ADJECTIVES,25
STUPID ANSWERS,25
POP MUSIC,25
PSYCHOLOGY,25
PORTMANTEAU WORDS,25
AFRICAN-AMERICAN HISTORY,25
COMMON BONDS,25
COMPOSERS,25
WORLD LITERATURE,25
ABBREV.,25
AMERICAN LITERATURE,25
GENERAL SCIENCE,25
OPERA,25
WHERE AM I?,24
THE MIDDLE AGES,24
SHORT STORIES,24
THE ELEMENTS,24
WEIGHTS & MEASURES,24
THE LAW,24
FAMILIAR PHRASES,24
THE 1970s,24
19th CENTURY AMERICA,24
NEWSPAPERS,23
12-LETTER WORDS,22
