,Word,Count
0,dar,5
1,art,355
2,artist,130
3,constitution,29
4,fade,4
5,black,53
6,haul,5
7,page,44
8,turner,4
9,political,64
10,nickname,168
11,stop,35
12,press,15
13,super,26
14,pack,28
15,congressional,3
16,record,61
17,daily,15
18,rundown,5
19,new,405
20,york,125
21,time,558
22,movie,883
23,final,879
24,also,84
25,state,676
26,common,85
27,last,242
28,name,886
29,death,63
30,venice,15
31,word,1675
32,jailhouse,5
33,rock,155
34,letter,395
35,please,39
36,life,139
37,de,50
38,moines,5
39,math,112
40,milestone,25
41,birthday,25
42,national,276
43,anthem,25
44,opera,99
45,woodstock,9
46,od,10
47,forgotten,5
48,musical,251
49,got,114
50,music,375
51,independence,25
52,day,191
53,let,279
54,b,202
55,medical,72
56,abbreviation,64
57,military,70
58,matter,87
59,mother,15
60,goose,17
61,prehistoric,5
62,lake,69
63,bo,10
64,know,99
65,candle,15
66,wind,30
67,church,20
68,cathedral,15
69,circle,15
70,crocodile,10
71,elton,5
72,john,39
73,still,25
74,standin,5
75,smith,20
76,go,236
77,washington,29
78,rocket,19
79,man,172
80,bowl,15
81,mvp,28
82,take,107
83,hike,5
84,technology,29
85,da,19
86,end,273
87,alfred,5
88,hitchcock,5
89,said,52
90,american,584
91,decorative,9
92,ballet,52
93,setting,69
94,dialect,15
95,earliest,5
96,statehood,10
97,heteronym,15
98,island,156
99,prison,25
100,literary,419
101,title,539
102,pair,88
103,potent,48
104,potable,40
105,tv,991
106,virginia,20
107,fighter,15
108,literature,301
109,botany,9
110,celebrity,169
111,insurance,5
112,policy,5
113,coat,5
114,jacket,10
115,get,129
116,hailed,7
117,wale,14
118,map,86
119,sloganeering,5
120,least,5
121,interesting,10
122,world,715
123,nixon,15
124,year,228
125,within,30
126,royal,25
127,british,159
128,lockup,5
129,asian,72
130,food,218
131,chicken,10
132,soup,29
133,describing,35
134,novel,218
135,sole,10
136,innocent,5
137,city,419
138,usa,50
139,robot,19
140,pal,30
141,ralph,5
142,waldo,5
143,emerson,10
144,science,436
145,update,20
146,davy,5
147,quarterback,14
148,award,136
149,squad,15
150,lip,10
151,service,25
152,ankara,4
153,baby,59
154,comic,37
155,book,698
156,governmental,10
157,deal,5
158,country,381
