full_name,final_score,occupation,city,state,state_id,archive_info,date,dt_indx,winner_flg
Jason Zuffranieri,27600,a math teacher,Albuquerque,New Mexico,NM,J! Archive - Show #8045,7/26/19,1,1
Jason Zuffranieri,4400,a math teacher,Albuquerque,New Mexico,NM,J! Archive - Show #8044,7/25/19,1,1
Jason Zuffranieri,30000,a math teacher,Albuquerque,New Mexico,NM,J! Archive - Show #8043,7/24/19,1,1
Jason Zuffranieri,30100,a math teacher,Albuquerque,New Mexico,NM,J! Archive - Show #8042,7/23/19,1,1
Jason Zuffranieri,18600,a math teacher,Albuquerque,New Mexico,NM,J! Archive - Show #8041,7/22/19,1,1
Jason Zuffranieri,26600,a math teacher,Albuquerque,New Mexico,NM,J! Archive - Show #8040,7/19/19,3,1
Kevin Paquette,7199,a math teacher,Charlottesville,Virginia,VA,J! Archive - Show #8032,7/9/19,3,0
Rand Wise,11900,a math teacher,Decatur,Georgia,GA,J! Archive - Show #7542,5/30/17,3,1
Julien Corven,14200,a math teacher,Parkville,Maryland,MD,J! Archive - Show #7590,9/15/17,3,0
Quin Lewellen,5599,a graphic designer,Albuquerque,New Mexico,NM,J! Archive - Show #7692,2/6/18,3,1
Erin Matherne,7100,a graphic designer,Winter Garden,Florida,FL,J! Archive - Show #7698,2/14/18,3,0
Missy Meyer,2399,a graphic designer,Gilbert,Arizona,AZ,J! Archive - Show #7643,11/29/17,2,0
Jessica Plagens,4300,a graphic designer,St. Paul,Minnesota,MN,J! Archive - Show #7342,7/12/16,3,0
Ryan Kious,799,a social media and web writer,Albuquerque,New Mexico,NM,J! Archive - Show #7584,7/27/17,2,0
Maggie Lehrman,0,an editor and writer,Brooklyn,New York,NY,J! Archive - Show #8045,7/26/19,2,0
Hilary Hinzmann,13500,an editor and writer,New York,New York,NY,J! Archive - Show #7282,4/19/16,2,0
Daniel Esch,100,an editor and writer,San Bruno,California,CA,J! Archive - Show #7559,6/22/17,3,0
E.J. Wolborsky,0,a freelance project manager,Brooklyn,New York,NY,J! Archive - Show #8026,7/1/19,1,1
E.J. Wolborsky,28800,a freelance project manager,Brooklyn,New York,NY,J! Archive - Show #8013,6/12/19,3,1
Stephanie Stein,6300,an editor,Brooklyn,New York,NY,J! Archive - Show #7969,4/11/19,2,0
Scott Krzywonos,5,an editor,Levittown,Pennsylvania,PA,J! Archive - Show #7709,3/1/18,2,0
Amy Finkelstein,100,an editor,Chicago,Illinois,IL,J! Archive - Show #7707,2/27/18,2,0
Chris Whalen,14401,an editor,Austin,Texas,TX,J! Archive - Show #7917,1/29/19,2,1
Reese Wallace,0,an editor,Orlando,Florida,FL,J! Archive - Show #7821,9/17/18,3,0
Jesse Darland,19199,an editor,Charleston,South Carolina,SC,J! Archive - Show #7711,3/5/18,3,0
Tim Aten,3187,an editor,Vermilion,Ohio,OH,J! Archive - Show #7633,11/15/17,3,0
Tim Aten,11500,an editor,Vermilion,Ohio,OH,J! Archive - Show #7627,11/7/17,1,0
Tim Aten,7800,an editor,Vermilion,Ohio,OH,J! Archive - Show #7422,12/13/16,1,0
Tim Aten,5600,an editor,Vermilion,Ohio,OH,J! Archive - Show #7421,12/12/16,1,1
