,Word,Count
0,longshot,1
1,win,179
2,star,439
3,war,644
4,comic,105
5,book,790
6,publisher,32
7,term,741
8,endearment,3
9,like,1451
10,clementine,2
11,turkish,21
12,strait,49
13,seen,936
14,inner,25
15,bull,45
16,eye,198
17,commonly,31
18,worth,47
19,point,284
20,game,503
21,capital,565
22,australia,79
23,northern,110
24,territory,79
25,named,1316
26,evolutionary,3
27,scientist,103
28,depicting,19
29,native,186
30,american,695
31,george,271
32,catlin,1
33,often,335
34,painted,78
35,beast,45
36,assiniboine,1
37,indian,115
38,pursuing,3
39,snowshoe,1
40,impressionist,5
41,painter,75
42,father,225
43,jean,66
44,director,129
45,rule,118
46,thomas,164
47,sully,5
48,portrait,69
49,man,1289
50,basis,35
51,bill,189
52,article,81
53,european,136
54,nation,368
55,constitution,71
56,say,845
57,confederation,10
58,shall,114
59,respect,11
60,autonomy,3
61,canton,7
62,excluding,4
63,amendment,52
64,country,1203
65,among,178
66,world,861
67,shortest,17
68,word,1312
69,emperor,97
70,japan,71
71,power,168
72,related,50
73,government,139
74,written,131
75,part,848
76,iii,68
77,prohibits,4
78,discrimination,5
79,account,59
80,caste,4
81,church,131
82,bell,98
83,hell,57
84,open,138
85,album,188
86,queen,233
87,anne,64
88,revenge,19
89,pirate,52
90,ship,230
91,film,899
92,strangelove,1
93,juxtapose,1
94,morbid,5
95,element,168
96,farce,3
97,siksika,1
98,confederacy,18
99,presume,3
100,chuma,1
101,susi,1
102,bearer,5
103,hauled,7
104,missionary,17
105,around,499
106,africa,172
107,alive,39
108,dead,146
109,purse,10
110,seine,8
111,huge,43
112,one,3352
113,take,499
114,many,420
115,fisherman,14
116,block,48
117,haul,3
118,water,418
119,also,967
120,meaning,504
121,dopey,2
122,person,265
123,yiddish,16
124,way,468
125,new,1214
126,york,410
127,city,1667
128,broke,61
129,dominance,2
130,organized,29
131,crime,100
132,hauling,3
133,trucking,3
134,defined,38
135,run,221
136,cover,174
137,mile,438
138,ann,23
139,charles,141
140,set,391
141,creepy,17
142,novel,812
143,south,542
144,dakota,75
145,completes,32
146,john,500
147,le,208
148,carre,7
149,title,1231
150,tinker,3
151,tailor,12
152,ian,16
153,fleming,10
154,doctor,101
155,presumed,6
156,right,282
157,think,142
158,looking,60
159,author,426
160,legal,65
161,thriller,41
162,president,565
163,sphinx,3
164,potomac,9
165,senator,114
166,saw,124
167,red,310
168,tail,52
169,gunner,3
170,joe,75
171,century,511
172,great,502
173,compromiser,1
174,congressman,26
175,mustache,12
176,justice,106
177,nearly,102
178,sam,58
179,scandal,34
180,forced,37
181,british,461
182,tabloid,7
183,close,89
184,online,65
185,retailer,27
186,announced,44
187,sale,36
188,exceeded,3
189,hardback,1
190,paperback,1
191,encyclopedia,10
192,discontinuing,1
193,print,29
194,version,215
195,going,144
196,web,35
197,preserve,20
198,final,95
199,edition,52
200,news,177
201,paper,122
202,time,950
203,chronicling,2
204,life,600
205,denver,21
206,colorado,56
207,went,277
208,frequent,8
209,traveler,29
210,appreciate,3
211,feature,237
212,tumi,1
213,presidio,3
214,model,131
215,bag,53
216,military,215
217,folk,97
218,carry,65
219,personal,53
220,item,184
221,large,214
222,cylindrical,7
223,entered,34
224,congress,98
225,year,1196
226,cher,9
227,topped,48
228,pop,66
229,chart,48
230,look,249
231,adam,96
232,sandler,7
233,orrin,2
234,hatch,13
235,song,691
236,include,339
237,eight,17
238,day,742
239,let,239
240,freedom,68
241,sing,69
242,singing,68
243,quartet,28
244,specialized,14
245,vocal,27
246,style,197
247,ash,42
248,wednesday,7
249,first,2231
250,religious,105
251,period,99
252,took,307
253,wing,76
254,tuesday,12
255,night,222
256,music,260
257,club,113
258,hit,523
259,wan,25
260,na,107
261,jason,35
262,voorhees,1
263,psycho,11
264,franchise,22
265,go,511
266,basement,7
267,tv,409
268,sport,199
269,spectacle,8
270,premiered,24
271,monday,21
272,ready,41
273,thursday,10
274,proclaimed,16
275,praise,24
276,manohla,1
277,dargis,1
278,titled,103
279,review,34
280,drama,152
281,finding,27
282,humanity,21
283,feared,7
284,enforcer,3
285,stephen,71
286,holden,11
287,noted,54
288,trio,69
289,return,73
290,big,498
291,screen,59
292,maybe,84
293,sequel,50
294,movie,554
295,archive,11
296,critic,33
297,pick,43
298,includes,206
299,mother,136
300,anthony,32
301,perkins,9
302,pic,12
303,link,28
304,top,302
305,dvd,3
306,rental,11
307,brad,13
308,pitt,11
309,baseball,116
310,digital,24
311,age,274
312,velcomes,1
313,list,132
314,best,328
315,ever,123
316,made,940
317,vich,1
318,bela,3
319,lugosi,2
320,held,157
321,may,542
322,oldest,92
323,continuously,5
324,major,210
325,sporting,22
326,event,241
327,united,144
328,state,1287
329,beseeching,1
330,request,27
331,fanning,3
332,continue,9
333,direction,62
334,antarctica,13
335,numbered,6
336,shirt,28
337,bought,42
338,favorite,132
339,football,104
340,team,362
341,name,2806
342,engel,2
343,mary,155
344,tyler,34
345,moore,34
346,fame,137
347,destroyed,39
348,havana,16
349,harbor,37
350,band,294
351,wayward,1
352,son,285
353,fronted,8
354,steve,69
355,walsh,7
356,james,285
357,jerry,26
358,gatemouth,1
359,kate,26
360,keely,1
361,samuel,42
362,rafer,1
363,seth,11
364,isiah,1
365,clarence,8
366,tom,138
367,shirley,17
368,davy,20
369,main,197
370,character,546
371,gustave,3
372,von,31
373,aschenbach,2
374,succumbs,3
375,death,334
376,venice,36
377,peggy,7
378,family,416
379,art,250
380,patron,36
381,turned,114
382,palazzo,4
383,museum,409
384,garden,72
385,russian,151
386,founder,83
387,ballet,56
388,rus,2
389,fell,50
390,coma,7
